abbé_NOM :prêtre_NOM,georges-henri_NAM,biéler_NAM,amédée_NAM,évêque_NOM,maurice_NAM,pelletier-baillargeon_NAM,filleul_NOM,fernand_NAM,léon_NAM,

abonné_NOM :abonnés_NOM,abonnement_NOM,abonne_VER,utilisateur_NOM,usager_NOM,abonnent_VER,facturée_VER,abonné_VER,câble_NOM,abonner_VER,

absent_NOM :absent_ADJ,perdant_NOM,favori_NOM,vainqueur_NOM,absents_ADJ,absents_NOM,gagnant_NOM,argentier_NOM,absente_NOM,représenté_VER,

absente_NOM :absente_ADJ,perdante_NOM,ravivée_VER,habituée_ADJ,absent_ADJ,championne_NOM,auréolée_VER,admiratrice_NOM,favorite_NOM,californienne_NOM,

accidenté_ADJ :accident_NOM,accidenté_VER,orbiteur_NOM,accidentés_VER,hydravion_NOM,submersible_NOM,hélicoptère_NOM,détrempé_VER,électrodes_NOM,débris_NOM,

accompagnateur_NOM :musicien_NOM,guitariste_NOM,accompagnateurs_NOM,chauffeur_NOM,arrangeur_NOM,accordéoniste_NOM,pianiste_NOM,batteur_NOM,ami_NOM,interprète_NOM,

accompagnatrice_NOM :jouannest_NAM,attitrée_VER,elisapie_NOM,boky_NAM,écrivaine_ADJ,yaroshevskaya_NAM,comédienne_NOM,choriste_NOM,chanteuse_NOM,interprète_NOM,

accusateur_ADJ :acerbe_ADJ,complaisant_ADJ,doigt_NOM,indulgent_ADJ,cinglant_VER,conciliant_ADJ,badin_ADJ,incisif_ADJ,accablant_VER,ironique_ADJ,

accusé_NOM :munyaneza_NAM,procès_NOM,suspect_NOM,agresseur_NOM,accusé_ADJ,plaignante_NOM,malvo_NAM,accusée_NOM,détenu_NOM,prévenu_ADJ,

accusée_NOM :accusé_NOM,plaignante_NOM,parasiris_NAM,ex-conjointe_NOM,plavsic_NAM,munyaneza_NAM,latimer_NAM,abella_NAM,actrice_NOM,agent-source_NOM,

acheteur_NOM :investisseur_NOM,repreneur_NOM,acheteur_ADJ,acquéreur_NOM,client_NOM,acheteurs_NOM,propriétaire_NOM,utilisateur_NOM,emprunteur_NOM,concurrent_NOM,

acquéreur_NOM :acheteur_NOM,acquisition_NOM,acquéreurs_NOM,propriétaire_ADJ,acquérir_VER,propriétaire_NOM,racheter_VER,actionnaire_NOM,départir_VER,racheté_VER,

acteur_NOM :comédien_NOM,actrice_NOM,interprète_NOM,réalisateur_NOM,scénariste_NOM,personnage_NOM,cinéaste_NOM,humoriste_NOM,écrivain_NOM,musicien_NOM,

actrice_NOM :comédienne_NOM,interprète_NOM,acteur_NOM,cotillard_NAM,chanteuse_NOM,réalisatrice_NOM,écrivaine_NOM,meryl_NAM,swinton_NAM,croze_NAM,

administrateur_NOM :syndic_NOM,cip_NAM,technicien_NOM,cirp_NAM,cirp_NOM,ingénieur_NOM,clrp_NOM,roland-therrien_NAM,consultant_VER,secrétaire-trésorier_NOM,

administratrice_NOM :directrice_NOM,consultante_NOM,présidente_NOM,éditrice_NOM,vice-présidente_NOM,directrice_ADJ,résidente_NOM,gérante_NOM,représentante_NOM,professeure_ADJ,

admirateur_NOM :disciple_NOM,fervent_ADJ,ami_NOM,inspirateur_NOM,raconteur_NOM,inconditionnel_NOM,rusé_ADJ,écrivain_NOM,éminent_ADJ,émule_NOM,

admiratrice_NOM :amie_NOM,confidente_NOM,idole_NOM,actrice_NOM,icône_NOM,fervente_ADJ,institutrice_NOM,starlette_NOM,aïeule_NOM,écrivaine_NOM,

adolescent_NOM :garçon_NOM,adolescente_NOM,enfant_NOM,adolescent_ADJ,adulte_NOM,policier_NOM,fillette_NOM,étudiant_NOM,jeune_ADJ,gamin_NOM,

adolescente_NOM :fillette_NOM,adolescent_NOM,fille_NOM,adolescente_ADJ,garçon_NOM,amie_NOM,prostituée_NOM,jeune_ADJ,mère_NOM,femme_NOM,

afficheur_NOM :cellulaire_ADJ,utilisateur_NOM,itunes_ADJ,skype_NAM,adhésif_ADJ,wi-fi_NAM,enregistreur_NOM,ordinateur_NOM,bluetooth_NAM,mp3_NAM,

africain_NOM :écrivain_NOM,idiome_NOM,arabe_NOM,innu_NOM,kabyle_ADJ,indien_ADJ,chao_INT,africain_ADJ,métissé_VER,obscur_ADJ,

africaine_NOM :métisse_ADJ,rouquine_NOM,esseulée_ADJ,ingénue_ADJ,vieillie_VER,écolière_NOM,aïeule_NOM,afrobeat_ADJ,travestie_VER,afro-américaine_ADJ,

agneau_NOM :canard_NOM,braisé_VER,poulet_NOM,jambon_NOM,rôti_VER,pintade_NOM,veau_NOM,rôti_NOM,grillée_VER,grillée_ADJ,

agresseur_NOM :agression_NOM,assassin_NOM,accusé_NOM,pédophile_NOM,agresseurs_NOM,criminel_NOM,policier_NOM,assaillant_NOM,adolescent_NOM,ex-conjointe_NOM,

agriculteur_NOM :fermier_NOM,éleveur_NOM,cultivateur_NOM,travailleur_NOM,pêcheur_NOM,ouvrier_NOM,schmeiser_NAM,militant_ADJ,écrivain_NOM,politicien_NOM,

aîné_NOM :étudiant_NOM,aînés_ADJ,adolescent_NOM,adulte_ADJ,enfant_NOM,garçon_NOM,cadet_NOM,adulte_NOM,frère_NOM,papa_NOM,

aînée_NOM :cadette_NOM,adolescente_NOM,fide_NOM,adoptive_ADJ,cadette_ADJ,aînée_ADJ,amie_NOM,fille_NOM,serena_NAM,navratilova_NAM,

allemand_NOM :allemand_ADJ,italien_NOM,espagnol_ADJ,roumain_NOM,autrichien_NOM,italien_ADJ,américain_NOM,espagnol_NOM,autrichien_ADJ,australien_NOM,

allemande_NOM :allemande_ADJ,américaine_NOM,italienne_ADJ,concurrente_NOM,hilde_NAM,slave_ADJ,swinton_NAM,suédoise_ADJ,hollandaise_ADJ,héritière_NOM,

allié_NOM :allié_VER,alliés_NOM,allié_ADJ,ami_NOM,ennemi_NOM,partenaire_NOM,interlocuteur_NOM,rival_NOM,leader_NOM,adversaire_NOM,

alliée_NOM :alliée_VER,allié_NOM,ennemie_NOM,amie_NOM,têtue_ADJ,alliés_NOM,ambassadrice_NOM,confidente_NOM,amie_ADJ,sortante_ADJ,

amant_NOM :amante_NOM,amoureuse_NOM,compagnon_NOM,mari_NOM,amour_NOM,amoureuse_ADJ,volage_ADJ,amie_NOM,ami_NOM,fiancé_NOM,

amante_NOM :amant_NOM,amoureuse_NOM,amie_ADJ,divorcée_NOM,voyageuse_ADJ,passionnée_VER,amoureuse_ADJ,sensuelle_ADJ,passionnee_NOM,rouquine_ADJ,

amateur_NOM :amateurs_NOM,connaisseur_NOM,collectionneur_NOM,passionné_VER,féru_ADJ,musicien_NOM,adepte_NOM,néophyte_NOM,doué_VER,sport_NOM,

amatrice_NOM :férue_ADJ,cherehe_NOM,47-55_NUM,raffinee_NOM,35-48_NUM,28-35_NUM,épicurienne_NOM,35-46_NUM,distinguée_ADJ,44-50_NUM,

ambitieux_NOM :ambitieux_ADJ,objectif_NOM,objectif_ADJ,ambition_NOM,ambitieuse_ADJ,emballant_VER,audacieux_ADJ,avoué_NOM,aristocrate_NOM,décadent_ADJ,

ambitieuse_ADJ :audacieuse_ADJ,ambitieux_ADJ,exigeante_ADJ,aboutie_VER,brillante_ADJ,cohérente_ADJ,réussie_VER,séduisante_ADJ,intéressante_ADJ,rassembleuse_ADJ,

ambulancier_ADJ :intermodal_ADJ,réorganisé_VER,télémédecine_NOM,syndiqué_VER,chauffeur_NOM,technologue_NOM,superviseur_NOM,technicien_NOM,ambulanciers_ADJ,infirmier_NOM,

américain_NOM :australien_NOM,américain_ADJ,allemand_NOM,australien_ADJ,militaire_NOM,européen_NOM,argentin_NOM,ginepri_NAM,robby_NAM,israélien_NOM,

américaine_NOM :américaine_ADJ,australienne_ADJ,québécoise_NOM,rivale_NOM,serena_NOM,canadienne_NOM,californienne_NOM,française_NOM,allemande_ADJ,états-unienne_ADJ,

ami_NOM :frère_NOM,ami_ADJ,copain_NOM,père_NOM,oncle_NOM,cousin_NOM,amie_NOM,collègue_NOM,amant_NOM,grand-père_NOM,

amie_NOM :copine_NOM,fille_NOM,amie_ADJ,mère_NOM,épouse_NOM,femme_NOM,adolescente_NOM,compagne_NOM,maman_NOM,ami_NOM,

amoureux_NOM :amoureux_ADJ,salut_NOM,amants_NOM,fou_NOM,amant_NOM,séducteurs_ADJ,copains_NOM,wildfire_NAM,musico_NOM,ohhh_NOM,

amoureuse_NOM :amoureuse_ADJ,amant_NOM,amante_NOM,divorcée_NOM,amie_NOM,femme_NOM,amour_NOM,délurée_ADJ,musicienne_NOM,mignonne_NOM,

ancien_NOM :anden_NOM,ex-premier_ADJ,ancien_ADJ,ex-pre-mier_ADJ,ex-premier_NOM,tex-premier_NAM,ex-chef_NOM,ex-chef_ADJ,anden_ADJ,ex-ministre_NOM,

ancienne_NOM :ancienne_ADJ,américaine_NOM,ex-première_ADJ,benazir_NAM,rivale_NOM,bhutto_NAM,aïeule_NOM,rescapée_VER,espionne_NOM,devenue_VER,

âne_NOM :bonnet_NOM,cheval_NOM,pelage_NOM,chamois_NOM,crochet_NOM,équerre_NOM,wapiti_NOM,singe_NOM,éléphant_NOM,girafe_NOM,

anglais_NOM :anglais_ADJ,français_NOM,groupe/privé_ADJ,prononciation_NOM,arabe_NOM,espagnol_NOM,inuktitut_NOM,m.ed_NAM,anglais_NAM,toefl_NAM,

anglaise_NOM :anglaise_ADJ,-famous_ADJ,famous_NOM,i--famous_NOM,s.-t.f_ADJ,anglais_ADJ,portugaise_ADJ,italienne_NOM,players-_NAM,-cinéplex_NAM,

animateur_NOM :animateur_ADJ,animateur-vedette_NOM,présentateur_NOM,humoriste_ADJ,humoriste_NOM,animatrice_NOM,comédien_NOM,ex-animateur_NOM,intervieweur_NOM,émission_NOM,

animatrice_NOM :animatrice_ADJ,animateur_NOM,écrivaine_NOM,émission_NOM,comédienne_NOM,bazzo_NAM,présentatrice_NOM,radio-canada_NAM,journaliste_NOM,auteure_NOM,

anormal_NOM :anormal_ADJ,delilah_NAM,pis._ABR,trouble_VER,gilmore_ADJ,skyland_NAM,cybersix_NAM,d-stroy_NAM,rien_ADV,grand-chose_NOM,

anormale_ADJ :aberrante_ADJ,inquiétante_ADJ,incontrôlée_ADJ,inflammatoire_ADJ,exogène_ADJ,abdominale_ADJ,inhabituelle_ADJ,bénigne_ADJ,myéline_NOM,excessive_ADJ,

anxieux_ADJ :nerveux_ADJ,dépressifs_ADJ,impulsifs_ADJ,agressifs_ADJ,angoissés_VER,craintifs_ADJ,inquiets_ADJ,déprimés_VER,méfiants_ADJ,émotifs_ADJ,

anxieuse_ADJ :émerveillée_VER,craintive_ADJ,traumatisée_VER,angoissée_VER,frustrée_VER,éplorée_ADJ,effrayée_VER,contrariée_VER,désorganisée_VER,maltraitée_VER,

appelant_NOM :appelant_VER,exhortant_VER,condamnant_VER,réaffirmant_VER,invitant_VER,exhortons_VER,réitérant_VER,affirmant_VER,remerciant_VER,reconnaissant_VER,

apprenant_NOM :apprenant_VER,constatant_VER,disant_VER,déclarant_NOM,avouant_VER,voyant_VER,affirmant_VER,voyant_NOM,alors_ADV,sachant_VER,

arrivant_NOM :arrivant_VER,immigrant_NOM,proposant_NOM,immigrant_VER,nouvel_ADJ,débarquant_VER,rentrer_VER,travailleur_NOM,arrivants_NOM,arrivait_VER,

artisan_NOM :artisan_ADJ,architecte_NOM,387-2613_NUM,orfèvre_NOM,entrepreneur_NOM,instigateur_NOM,créateur_NOM,fervent_ADJ,intellectuel_NOM,ébéniste_NOM,

assaillant_NOM :jordanien_NOM,attentat-suicide_NOM,kamikaze_NOM,palestinien_NOM,assaillants_NOM,attentat_NOM,grièvement_ADV,policier_NOM,tué_VER,soldat_NOM,

assistant_NOM :ami_NOM,adjoint_NOM,acolyte_NOM,assistant_VER,mentor_NOM,oncle_NOM,frère_NOM,adaptateur_NOM,successeur_NOM,ingénieur_NOM,

assistante_NOM :orthophoniste_NOM,recherchiste_NOM,stagiaire_NOM,infirmière_NOM,technicienne_NOM,tutrice_NOM,bachelière_NOM,eva_NAM,professeure_ADJ,inès_NAM,

attaquant_NOM :ailier_NOM,défenseur_NOM,joueur_NOM,gardien_NOM,hossa_NAM,entraîneur_NOM,ribeiro_NAM,perezhogin_NAM,redden_NAM,saku_NAM,

auditeur_NOM :lecteur_NOM,spectateur_NOM,téléspectateur_NOM,visiteur_NOM,auditoire_NOM,introspection_NOM,utilisateur_NOM,internaute_NOM,artiste_NOM,instrumentiste_NOM,

australien_NOM :ueyton_NAM,lleyton_NAM,roddick_NAM,hewitt_NAM,ginepri_NAM,federer_NAM,américain_NOM,kuerten_NAM,schalken_NAM,australien_ADJ,

australienne_NOM :australienne_ADJ,autrichienne_NOM,américaine_NOM,hilde_NAM,meissnitzer_NAM,néo-zélandaise_ADJ,arndt_NAM,âgée_ADJ,japonaise_NOM,sud-africaine_NOM,

auteur_NOM :écrivain_NOM,romancier_NOM,essayiste_NOM,fauteur_NOM,auteure_NOM,coauteur_NOM,historien_NOM,réalisateur_NOM,dramaturge_NOM,scénariste_NOM,

auteure_NOM :écrivaine_NOM,romancière_NOM,écriture_NOM,au-teure_NOM,tauteure_NAM,auteure_VER,auleure_NOM,massicotle_NAM,auteu-re_NOM,sylvie_NAM,

aventurier_NOM :aventurier_ADJ,explorateur_NOM,explorateur_ADJ,agaguk_NAM,misanthrope_ADJ,mégalomane_ADJ,aviateur_NOM,érudit_NOM,écrivain_NOM,sorcier_NOM,

aventurière_NOM :aventurière_ADJ,nlp/tuck_NAM,condemn_NAM,nip/tuck_NAM,actors_NOM,balko_NAM,galactica_NAM,winch_NOM,actors_ADJ,..nerdz_NAM,

aviateur_NOM :espion_NOM,astronaute_NOM,ivrogne_ADJ,lutin_NOM,aventurier_NOM,marin_NOM,oiseau_NOM,imitateur_NOM,amiral_NOM,play-boy_NOM,

avocat_NOM :avocats_NOM,criminaliste_NOM,kuebler_NAM,avocate_NOM,procureur_NOM,juriste_NOM,julius_NAM,m1_NAM,accusé_NOM,danson_NAM,

avocate_NOM :avocat_NOM,procureure_NOM,représentante_NOM,adjointe_VER,liquidatrice_ADJ,trignac_NAM,avocats_NOM,deny_NAM,avocates_NOM,susan_NAM,

bachelier_NOM :doctorant_VER,professeur_NOM,diplômé_VER,baccalauréat_NOM,étudiant_NOM,doctorat_NOM,actuariat_NOM,etudiante_NOM,émérite_ADJ,bachelière_NOM,

bachelière_NOM :etudiante_NOM,agrégée_VER,diplômée_NOM,diplômée_VER,étudiante_NOM,professeure_VER,orthophonie_NOM,professeure_ADJ,éducatrice_ADJ,docteure_NOM,

bagarreur_NOM :guerrier_NOM,démagogue_NOM,franc-tireur_NOM,héros_NOM,gars_NOM,combatif_ADJ,impénitent_ADJ,tenancier_NOM,rusé_ADJ,politicien_NOM,

balayeuse_NOM :lav-séch_NOM,aspirateur_NOM,trigo_NOM,tngo_NOM,lav-vaiss_NOM,lave-vaisselle_NOM,irigo_NAM,fixtures_NOM,poêle_NOM,lav/vais_VER,

banquier_NOM :0-22_NUM,politicien_NOM,milliardaire_NOM,spéculateur_NOM,tva_ABR,véreux_ADJ,financier_NOM,milliardaire_ADJ,faussaire_NOM,talk-show_NOM,

barman_NOM :cuisinier_NOM,cuistot_NOM,ahuri_VER,copain_NOM,matelot_NOM,chauffeur_NOM,pâtissier_ADJ,vieillissant_ADJ,play-boy_NOM,proxénète_NOM,

bâtard_NOM :bâtard_ADJ,fantôme_NOM,esthète_ADJ,oreo_NOM,transcrit_VER,ballard_NAM,gerbert_NAM,mystique_NOM,angoissé_VER,aventeo_NAM,

bavard_ADJ :rusé_ADJ,loquace_ADJ,volubile_ADJ,contemplatif_ADJ,avare_ADJ,cabotin_ADJ,emphatique_ADJ,maladroit_ADJ,longuet_ADJ,insolent_ADJ,

bavarde_ADJ :prétentieuse_ADJ,ennuyeuse_ADJ,invariable_ADJ,agaçante_ADJ,incisive_ADJ,pesante_ADJ,emphatique_ADJ,désorganisée_VER,mièvre_ADJ,redondante_ADJ,

berger_NOM :guerrier_NOM,moutons_NOM,prénommé_VER,marchand_NOM,ivrogne_ADJ,ermite_NOM,girafe_NOM,esclave_NOM,musulman_NOM,chien_NOM,

bergère_NOM :fille_NOM,orpheline_NOM,sirène_NOM,goélette_NOM,losfeld_NAM,amérindienne_NOM,jument_NOM,gouvernante_NOM,iphigénie_NAM,narratrice_NOM,

bien-aimé_ADJ :époux_NOM,frère_NOM,petit-fils_NOM,épouse_NOM,fils_NOM,thérèse_NAM,gilberte_NAM,georgette_NAM,yvette_NAM,bien-aimée_ADJ,

bien-aimée_NOM :mère_NOM,petite-fille_NOM,maîtresse_NOM,filleule_NOM,nièce_NOM,adorée_VER,belle-fille_NOM,adoptive_ADJ,servante_NOM,bien-aimée_ADJ,

bienheureux_NOM :bienheureux_ADJ,canonisé_VER,béatifié_VER,dieu_NOM,dugua_NAM,médicis_NAM,perroquet_NOM,dieux_NOM,falar-deau_NAM,lénine_NOM,

bienheureuse_ADJ :exaltée_VER,aveuglante_ADJ,bénie_ADJ,teresa_VER,fuyante_ADJ,religieuse_NOM,orgueilleuse_ADJ,bienfaisante_ADJ,grouillante_ADJ,triomphante_ADJ,

blessé_NOM :blessés_NOM,blessé_VER,blessés_VER,grièvement_ADV,kamikaze_NOM,attentat-suicide_NOM,assaillant_NOM,blessés_ADJ,blesses_VER,soldat_NOM,

blessée_ADJ :blessée_VER,éplorée_ADJ,mourante_ADJ,esseulée_ADJ,têtue_ADJ,névrosée_ADJ,souffrante_ADJ,contrariée_VER,guérie_VER,meurtrie_VER,

blond_NOM :tribu.com_NAM,sournois_ADJ,tva_ABR,nikita_NOM,blond_ADJ,sucré-salé_NAM,labrèche_NAM,emma_NAM,nikita_VER,piment_NOM,

