"ref_id","frequence_m","frequence_f",
"0","260","149",
"1","422","60",
"2","6072","3324",
"3","3159","147",
"4","380","67",
"5","1377","818",
"6","166","95",
"7","1500","76",
"8","1395","340",
"9","3400","58",
"10","140","660",
"11","8706","2268",
"12","2316","439",
"13","476","405",
"14","236","467",
"15","2970","676",
"16","153","192",
"17","306","57",
"18","407","422",
"19","504","115",
"20","26411","3898",
"21","12774","2048",
"22","380","107",
"23","85","54",
"24","764","1097",
"25","352","141",
"26","331","134",
"27","282","233",
"28","319","255",
"29","151","116",
"30","20402","2072",
"31","1901","190",
"32","17704","3726",
"33","174","120",
"34","7936","2141",
"35","4958","3476",
"36","2303","212",
"37","3864","785",
"38","3343","60",
"39","3819","226",
"40","1148","468",
"41","557","137",
"42","61","71",
"43","6656","2034",
"44","56","490",
"45","5287","406",
"46","955","59",
"47","269","111",
"48","8308","3485",
"49","529","53",
"50","3103","2387",
"51","3813","142",
"52","740","117",
"53","963","62",
"54","216","76",
"55","1729","1217",
"56","1208","322",
"57","3354","95",
"58","843","190",
"59","1060","921",
"60","797","591",
"61","1297","203",
"62","1005","444",
"63","1604","71",
"64","910","402",
"65","831","67",
"66","217","94",
"67","270","96",
"68","1141","1152",
"69","2309","6195",
"70","264","244",
"71","61728","8981",
"72","3534","239",
"73","4396","123",
"74","104","55",
"75","2389","83",
"76","1624","811",
"77","687","2705",
"78","487","68",
"79","179","123",
"80","203","117",
"81","1356","470",
"82","64","74",
"83","5378","864",
"84","82","50",
"85","1273","255",
"86","58","145",
"87","90","145",
"88","553","128",
"89","1268","570",
"90","371","134",
"91","234","205",
"92","1261","690",
"93","863","50",
"94","430","138",
"95","1536","321",
"96","1208","94",
"97","1870","75",
"98","118","159",
"99","187","376",
"100","180","68",
"101","98","79",
"102","186","179",
"103","127","69",
"104","108","57",
"105","1123","396",
"106","565","169",
"107","437","159",
"108","428","162",
"109","287","150",
"110","189","286",
"111","199","203",
"112","1579","156",
"113","549","172",
"114","464","443",
"115","1603","400",
"116","13711","1257",
"117","665","146",
"118","144","97",
"119","387","341",
"120","255","504",
"121","6336","382",
"122","2340","153",
"123","2036","145",
"124","1026","104",
"125","485","127",
"126","288","265",
"127","233","585",
"128","162","113",
"129","113","71",
"130","967","1143",
"131","29096","16857",
"132","200","122",
"133","174","145",
"134","32411","115",
"135","794","511",
"136","58","409",
"137","2911","535",
"138","195","80",
"139","241","142",
"140","443","295",
"141","186","185",
"142","5592","3941",
"143","1622","110",
"144","193","140",
"145","533","104",
"146","863","132",
"147","1290","204",
"148","124","51",
"149","450","5124",
"150","238","78",
"151","2752","108",
"152","1738","92",
"153","167","83",
"154","454","80",
"155","461","227",
"156","1626","394",
"157","461","205",
"158","7085","443",
"159","360","1000",
"160","536","66",
"161","101","125",
"162","522","91",
"163","56","112",
"164","249","141",
"165","1857","154",
"166","1671","59",
"167","537","491",
"168","1741","67",
"169","4055","1037",
"170","916","535",
"171","3706","329",
"172","21847","3451",
"173","2491","1753",
"174","90","791",
"175","715","177",
"176","100","432",
"177","85","128",
"178","931","302",
"179","1595","145",
"180","61","401",
"181","245","99",
"182","2603","784",
"183","143","186",
"184","6405","3273",
"185","144","325",
"186","526","2875",
"187","327","471",
"188","791","383",
"189","411","356",
"190","3364","79",
"191","113","748",
"192","3665","106",
"193","309","164",
"194","269","81",
"195","229","497",
"196","30413","333",
"197","324","131",
"198","885","446",
"199","217","88",
"200","87","66",
"201","876","239",
"202","1561","359",
"203","1627","92",
"204","226","1048",
"205","84","52",
"206","1175","129",
"207","180","816",
"208","5070","314",
"209","156","190",
"210","583","59",
"211","1573","59",
"212","4955","2211",
"213","3147","838",
"214","1071","194",
"215","195","61",
