global_ref	paire (m)	paire (f)	
0	absente	absent	
1	accompagnatrice	accompagnateur	
2	actrice	acteur	
3	administratrice	administrateur	
4	admiratrice	admirateur	
5	adolescente	adolescent	
6	africaine	africain	
7	allemande	allemand	
8	amante	amant	
9	amatrice	amateur	
10	ambitieuse	ambitieux	
11	amie	ami	
12	amoureuse	amoureux	
13	ancienne	ancien	
14	anglaise	anglais	
15	animatrice	animateur	
16	anormale	anormal	
17	anxieuse	anxieux	
18	assistante	assistant	
19	australienne	australien	
20	auteure	auteur	
21	avocate	avocat	
22	bavarde	bavard	
23	bienheureuse	bienheureux	
24	blonde	blond	
25	boiteuse	boiteux	
26	bretonne	breton	
27	brune	brun	
28	cadette	cadet	
29	campagnarde	campagnard	
30	canadienne	canadien	
31	cane	canard	
32	candidate	candidat	
33	capricieuse	capricieux	
34	championne	champion	
35	chanteuse	chanteur	
36	chatte	chat	
37	chercheuse	chercheur	
38	jument	cheval	
39	chienne	chien	
40	chinoise	chinois	
41	chirurgienne	chirurgien	
42	citadine	citadin	
43	citoyenne	citoyen	
44	clandestine	clandestin	
45	cliente	client	
46	truie	cochon	
47	coiffeuse	coiffeur	
48	collaboratrice	collaborateur	
49	combattante	combattant	
50	compagne	compagnon	
51	compositrice	compositeur	
52	conceptrice	concepteur	
53	conductrice	conducteur	
54	confidente	confident	
55	conjointe	conjoint	
56	conservatrice	conservateur	
57	consommatrice	consommateur	
58	conteuse	conteur	
59	continentale	continental	
60	copine	copain	
61	correspondante	correspondant	
62	courageuse	courageux	
63	coureuse	coureur	
64	cousine	cousin	
65	criminelle	criminel	
66	croyante	croyant	
67	curieuse	curieux	
68	danseuse	danseur	
69	demanderesse	demandeur	
70	destructrice	destructeur	
71	directrice	directeur	
72	dirigeante	dirigeant	
73	docteure	docteur	
74	dominatrice	dominateur	
75	ennemie	ennemi	
76	enseignante	enseignant	
77	espagnole	espagnol	
78	espionne	espion	
79	extravagante	extravagant	
80	fautive	fautif	
81	favorite	favori	
82	filleule	filleul	
83	fondatrice	fondateur	
84	formatrice	formateur	
85	folle	fou	
86	frileuse	frileux	
87	fugitive	fugitif	
88	fumeuse	fumeur	
89	gagnante	gagnant	
90	gamine	gamin	
91	garante	garant	
92	gentille	gentil	
93	gourmande	gourmand	
94	grecque	grec	
95	grosse	gros	
96	habitante	habitant	
97	heureuse	heureux	
98	hollandaise	hollandais	
99	homosexuelle	homosexuel	
100	idiote	idiot	
101	ignorante	ignorant	
102	imaginative	imaginatif	
103	immortelle	immortel	
104	impertinente	impertinent	
105	inconnue	inconnu	
106	inconsciente	inconscient	
107	indienne	indien	
108	industrielle	industriel	
109	ingrate	ingrat	
110	innocente	innocent	
111	institutrice	instituteur	
112	intellectuelle	intellectuel	
113	irlandaise	irlandais	
114	italienne	italien	
115	japonaise	japonais	
116	joueuse	joueur	
117	juive	juif	
118	jumelle	jumeau	
119	laide	laid	
120	laveuse	laveur	
121	lectrice	lecteur	
122	lionne	lion	
123	louve	loup	
124	magistrate	magistrat	
125	majeure	majeur	
126	maladroite	maladroit	
127	malheureuse	malheureux	
128	maligne	malin	
129	mangeuse	mangeur	
130	marchande	marchand	
131	meilleure	meilleur	
132	mexicaine	mexicain	
133	mineure	mineur	
134	morte	mort	
135	brebis	mouton	
136	muette	muet	
137	musicienne	musicien	
138	musulmane	musulman	
139	nageuse	nageur	
140	nippone	nippon	
141	nouvelle	nouveau	
142	nulle	nul	
143	observatrice	observateur	
144	occidentale	occidental	
145	occupante	occupant	
146	opposante	opposant	
147	organisatrice	organisateur	
148	orgueilleuse	orgueilleux	
149	originale	original	
150	orpheline	orphelin	
151	ourse	ours	
152	parente	parent	
153	paresseuse	paresseux	
154	participante	participant	
155	passante	passant	
156	patiente	patient	
157	patineuse	patineur	
158	patronne	patron	
159	paysanne	paysan	
160	perdante	perdant	
161	petite	petit	
162	pharmacienne	pharmacien	
163	pleureuse	pleureur	
164	plongeuse	plongeur	
165	politicienne	politicien	
166	truie	porc	
167	portugaise	portugais	
168	poulette	poulet	
169	princesse	prince	
170	principale	principal	
171	productrice	producteur	
172	professeure	professeur	
173	professionnelle	professionnel	
174	promise	promis	
175	protectrice	protecteur	
176	protestante	protestant	
177	provocatrice	provocateur	
178	rate	rat	
179	religieuse	religieux	
180	rieuse	rieur	
181	rigolote	rigolo	
182	rivale	rival	
183	riveraine	riverain	
184	reine	roi	
185	rousse	roux	
186	sainte	saint	
187	savante	savant	
188	serveuse	serveur	
189	skieuse	skieur	
190	soldate	soldat	
191	sourde	sourd	
192	spectatrice	spectateur	
193	sportive	sportif	
194	sprinteuse	sprinter	
195	suissesse	suisse	
196	sujette	sujet	
197	survivante	survivant	
198	suspecte	suspect	
199	tailleuse	tailleur	
200	terrienne	terrien	
201	traductrice	traducteur	
202	travailleuse	travailleur	
203	tueuse	tueur	
204	turque	turc	
205	vagabonde	vagabond	
206	vendeuse	vendeur	
207	veuve	veuf	
208	vieille	vieux	
209	vilaine	vilain	
210	villageoise	villageois	
211	visiteuse	visiteur	
212	vivante	vivant	
213	voisine	voisin	
214	voyageuse	voyageur	
215	voyante	voyant	
