"ref_id","score",
"0","1",
"1","1",
"2","2",
"3","1",
"4","0",
"5","0",
"6","3",
"7","0",
"8","0",
"9","0",
"10","1",
"11","2",
"12","0",
"13","1",
"14","0",
"15","0",
"16","1",
"17","0",
"18","1",
"19","1",
"20","0",
"21","0",
"22","0",
"23","0",
"24","0",
"25","0",
"26","1",
"27","1",
"28","1",
"29","0",
"30","1",
"31","0",
"32","0",
"33","0",
"34","0",
"35","0",
"36","1",
"37","0",
"38","0",
"39","0",
"40","0",
"41","0",
"42","1",
"43","0",
"44","0",
"45","1",
"46","1",
"47","0",
"48","0",
"49","1",
"50","0",
"51","0",
"52","0",
"53","1",
"54","1",
"55","0",
"56","0",
"57","0",
"58","1",
"59","0",
"60","0",
"61","1",
"62","4",
"63","0",
"64","1",
"65","0",
"66","2",
"67","0",
"68","0",
"69","2",
"70","0",
"71","0",
"72","3",
"73","1",
"74","1",
"75","0",
"76","0",
"77","0",
"78","1",
"79","0",
"80","2",
"81","1",
"82","0",
"83","0",
"84","0",
"85","2",
"86","1",
"87","0",
"88","1",
"89","0",
"90","0",
"91","3",
"92","5",
"93","0",
"94","0",
"95","9",
"96","0",
"97","5",
"98","0",
"99","4",
"100","0",
"101","0",
"102","1",
"103","0",
"104","0",
"105","0",
"106","0",
"107","0",
"108","1",
"109","2",
"110","2",
"111","1",
"112","0",
"113","0",
"114","0",
"115","0",
"116","1",
"117","0",
"118","0",
"119","6",
"120","1",
"121","0",
"122","0",
"123","0",
"124","0",
"125","1",
"126","0",
"127","1",
"128","0",
"129","0",
"130","0",
"131","0",
"132","1",
"133","5",
"134","0",
"135","0",
"136","0",
"137","0",
"138","0",
"139","0",
"140","0",
"141","0",
"142","0",
"143","1",
"144","5",
"145","0",
"146","0",
"147","1",
"148","0",
"149","0",
"150","0",
"151","0",
"152","0",
"153","1",
"154","0",
"155","2",
"156","0",
"157","1",
"158","2",
"159","0",
"160","0",
"161","0",
"162","0",
"163","2",
"164","0",
"165","0",
"166","0",
"167","0",
"168","0",
"169","0",
"170","0",
"171","0",
"172","0",
"173","2",
"174","0",
"175","0",
"176","0",
"177","0",
"178","0",
"179","0",
"180","0",
"181","1",
"182","0",
"183","0",
"184","1",
"185","0",
"186","0",
"187","0",
"188","0",
"189","0",
"190","0",
"191","0",
"192","0",
"193","4",
"194","0",
"195","0",
"196","1",
"197","1",
"198","0",
"199","0",
"200","0",
"201","0",
"202","2",
"203","0",
"204","0",
"205","0",
"206","0",
"207","3",
"208","0",
"209","0",
"210","0",
"211","1",
"212","1",
"213","1",
"214","0",
"215","3",
"216","0",
"217","2",
"218","0",
"219","1",
"220","1",
"221","0",
"222","0",
"223","0",
"224","0",
"225","0",
"226","0",
"227","0",
"228","0",
"229","0",
"230","1",
"231","1",
"232","0",
"233","2",
"234","1",
"235","0",
"236","0",
"237","1",
"238","0",
"239","1",
"240","1",
"241","0",
"242","1",
"243","1",
"244","0",
"245","0",
"246","0",
"247","0",
"248","0",
"249","0",
"250","0",
"251","0",
"252","0",
"253","0",
"254","0",
"255","2",
"256","0",
"257","1",
"258","1",
"259","0",
"260","1",
"261","1",
"262","0",
"263","0",
"264","3",
"265","4",
"266","1",
"267","0",
"268","0",
"269","1",
"270","4",
"271","1",
"272","1",
"273","0",
"274","0",
"275","0",
"276","2",
"277","0",
"278","0",
"279","3",
"280","0",
"281","1",
"282","0",
"283","1",
"284","0",
"285","0",
"286","1",
"287","0",
"288","2",
"289","0",
"290","0",
"291","0",
"292","1",
"293","0",
"294","0",
"295","0",
"296","0",
"297","0",
"298","0",
"299","0",
"300","0",
"301","0",
"302","0",
"303","1",
"304","0",
"305","0",
"306","1",
"307","0",
"308","1",
"309","0",
"310","1",
"311","5",
"312","0",
"313","0",
"314","0",
"315","0",
"316","1",
"317","0",
"318","0",
"319","0",
