ref_id	score_sim_stemm	
0	3	
1	1	
2	4	
3	1	
4	3	
5	5	
6	0	
7	3	
8	4	
9	1	
10	2	
11	2	
12	3	
13	2	
14	2	
15	5	
16	0	
17	1	
18	0	
19	2	
20	3	
21	3	
22	1	
23	0	
24	1	
25	0	
26	1	
27	2	
28	3	
29	0	
30	0	
31	0	
32	4	
33	0	
34	3	
35	3	
36	0	
37	3	
38	0	
39	1	
40	1	
41	2	
42	0	
43	2	
44	1	
45	3	
46	0	
47	1	
48	5	
49	1	
50	2	
51	0	
52	2	
53	2	
54	0	
55	4	
56	4	
57	1	
58	3	
59	1	
60	2	
61	3	
62	3	
63	0	
64	1	
65	0	
66	3	
67	0	
68	4	
69	6	
70	4	
71	3	
72	4	
73	2	
74	1	
75	3	
76	4	
77	3	
78	1	
79	0	
80	0	
81	2	
82	5	
83	3	
84	0	
85	0	
86	0	
87	0	
88	0	
89	2	
90	2	
91	6	
92	5	
93	0	
94	1	
95	0	
96	1	
97	0	
98	2	
99	1	
100	0	
101	1	
102	2	
103	0	
104	0	
105	1	
106	0	
107	2	
108	0	
109	0	
110	0	
111	3	
112	1	
113	0	
114	4	
115	1	
116	0	
117	2	
118	0	
119	0	
120	0	
121	1	
122	0	
123	0	
124	6	
125	1	
126	2	
127	1	
128	0	
129	0	
130	0	
131	3	
132	2	
133	2	
134	0	
135	3	
136	0	
137	2	
138	1	
139	1	
140	5	
141	0	
142	3	
143	0	
144	1	
145	2	
146	1	
147	3	
148	0	
149	0	
150	1	
151	0	
152	0	
153	0	
154	2	
155	0	
156	4	
157	1	
158	2	
159	0	
160	5	
161	0	
162	2	
163	0	
164	1	
165	4	
166	0	
167	4	
168	1	
169	0	
170	3	
171	1	
172	3	
173	2	
174	2	
175	2	
176	2	
177	1	
178	1	
179	1	
180	0	
181	2	
182	4	
183	0	
184	2	
185	0	
186	1	
187	0	
188	0	
189	1	
190	2	
191	2	
192	0	
193	0	
194	0	
195	0	
196	1	
197	2	
198	1	
199	0	
200	0	
201	4	
202	3	
203	0	
204	4	
205	0	
206	0	
207	5	
208	2	
209	0	
210	0	
211	1	
212	1	
213	4	
214	1	
215	0	
