Word (M/F)                                 POS            LEMMA                    TAG       DEPENDENCY
abandonné, abandonnée	                   VERB	      abandonner	               VERB	      ROOT
abbé, abbesse	                           ADJ	       abbé	                     ADJ	       ROOT
abonné, abonnée	                         VERB	      abonner	                  VERB	      ROOT
absent, absente	                         AUX	       absent	                   AUX	       ROOT
accidenté, accidentée	                   VERB	      accidenter	               VERB	      ROOT
accompagnateur, accompagnatrice	         NOUN	      accompagnateur	           NOUN	      ROOT
accoucheur, accoucheuse	                 NOUN	      accoucheur	               NOUN	      ROOT
accusateur, accusatrice	                 ADJ	       accusateur	               ADJ	       ROOT
accusé, accusée	                         VERB	      accuser	                  VERB	      ROOT
acheteur, acheteuse	                     NOUN	      acheteur	                 NOUN	      ROOT
acquéreur, acquéreuse	                   NOUN	      acquéreur	                NOUN	      ROOT
acteur, actrice	                         NOUN	      acteur	                   NOUN	      ROOT
adhérent, adhérente	                     VERB	      adhérer	                  VERB	      ROOT
administrateur, administratrice	         NOUN	      administrateur	           NOUN	      ROOT
administré, administrée	                 VERB	      administrer	              VERB	      ROOT
admirateur, admiratrice	                 NOUN	      admirateur	               NOUN	      ROOT
adolescent, adolescente	                 ADV	       adolescent	               ADV	       ROOT
adoptant, adoptante	                     VERB	      adopter	                  VERB	      ROOT
adopté, adoptée	                         VERB	      adopter	                  VERB	      ROOT
adorateur, adoratrice	                   NOUN	      adorateur	                NOUN	      ROOT
afficheur, afficheuse	                   NOUN	      afficheur	                NOUN	      ROOT
africain, africaine	                     ADJ	       africain	                 ADJ	       ROOT
agité, agitée	                           NOUN	      agité	                    NOUN	      ROOT
agneau, agnelle	                         ADJ	       agneau	                   ADJ	       ROOT
agressé, agressée	                       VERB	      agresser	                 VERB	      ROOT
agresseur, agresseuse	                   NOUN	      agresseur	                NOUN	      ROOT
agriculteur, agricultrice	               NOUN	      agriculteur	              NOUN	      ROOT
aîné, aînée	                             VERB	      aîner	                    VERB	      ROOT
ajusteur, ajusteuse	                     NOUN	      ajusteur	                 NOUN	      ROOT
allemand, allemande	                     PROPN	     allemand	                 PROPN	     ROOT
allié, alliée	                           VERB	      allier	                   VERB	      ROOT
amant, amante	                           NOUN	      amant	                    NOUN	      ROOT
amateur, amatrice	                       NOUN	      amateur	                  NOUN	      ROOT
ambitieux, ambitieuse	                   ADJ	       ambitieux	                ADJ	       ROOT
ambulancier, ambulancière	               ADJ	       ambulancier	              ADJ	       ROOT
américain, américaine	                   ADJ	       américain	                ADJ	       ROOT
ami, amie	                               NOUN	      ami	                      NOUN	      ROOT
amoureux, amoureuse	                     ADJ	       amoureux	                 ADJ	       ROOT
ancien, ancienne	                        ADJ	       ancien	                   ADJ	       ROOT
âne, ânesse	                             VERB	      âne	                      VERB	      ROOT
anglais, anglaise	                       PROPN	     anglais	                  PROPN	     ROOT
angoissé, angoissée	                     VERB	      angoisser	                VERB	      ROOT
animateur, animatrice	                   NOUN	      animateur	                NOUN	      ROOT
anormal, anormale	                       ADJ	       anormal	                  ADJ	       ROOT
anxieux, anxieuse	                       ADJ	       anxieux	                  ADJ	       ROOT
apiculteur, apicultrice	                 NOUN	      apiculteur	               NOUN	      ROOT
appelant, appelante	                     VERB	      appeler	                  VERB	      ROOT
apprenant, apprenante	                   VERB	      apprendre	                VERB	      ROOT
approvisionneur, approvisionneuse	       NOUN	      approvisionneur	          NOUN	      ROOT
arnaqueur, arnaqueuse	                   NOUN	      arnaqueur	                NOUN	      ROOT
arrivant, arrivante	                     VERB	      arriver	                  VERB	      ROOT
artisan, artisane	                       VERB	      artisan	                  VERB	      ROOT
assaillant, assaillante	                 VERB	      assaillir	                VERB	      ROOT
assistant, assistante	                   VERB	      assister	                 VERB	      ROOT
assoiffé, assoiffée	                     PROPN	     assoiffé	                 PROPN	     ROOT
assuré, assurée	                         VERB	      assurer	                  VERB	      ROOT
