abbé	abbesse
accompagnateur	accompagnatrice
accoucheur	accoucheuse
acheteur	acheteuse
acquéreur	acquéreuse
acteur	actrice
administrateur	administratrice
adorateur	adoratrice
afficheur	afficheuse
agneau	agnelle
agressé	agressée
agriculteur	agricultrice
ajusteur	ajusteuse
amant	amante
ambulancier	ambulancière
âne	ânesse
animateur	animatrice
apiculteur	apicultrice
apprenant	apprenante
approvisionneur	approvisionneuse
arnaqueur	arnaqueuse
arrivant	arrivante
artisan	artisane
assistant	assistante
auditeur	auditrice
auteur	auteure
auto-stoppeur	auto-stoppeuse
aviateur	aviatrice
aviculteur	avicultrice
avocaillon	avocaillonne
avocat	avocate
bachelier	bachelière
baigneur	baigneuse
balayeur	balayeuse
banquier	banquière
barman	barmaid
baroudeur	baroudeuse
basketteur	basketteuse
batelier	batelière
berger	bergère
bijoutier	bijoutière
blanchisseur	blanchisseuse
bodybuilder	bodybuildeuse
boucher	bouchère
boulanger	boulangère
bourlingueur	bourlingueuse
boxeur	boxeuse
briseur	briseuse
bronzeur	bronzeuse
buandier	buandière
buteur	buteuse
buveur	buveuse
caissier	caissière
calomniateur	calomniatrice
cambrioleur	cambrioleuse
camionneur	camionneuse
campeur	campeuse
canard	cane
candidat	candidate
caravanier	caravanière
casquettier	casquettière
chaisier	chaisière
champion	championne
chanteur	chanteuse
charcutier	charcutière
chasseur	chasseresse
chasseur	chasseuse
chat	chatte
châtelain	châtelaine
chauffeur	chauffeuse
chausseur	chausseuse
chaussonnier	chaussonnière
cheminot	cheminote
cheval	jument
chevrier	chevrière
chien	chienne
chieur	chieuse
chiffreur	chiffreuse
chiqueur	chiqueuse
chirurgien	chirurgienne
chocolatier	chocolatière
chômeur	chômeuse
cigarier	cigarière
citateur	citatrice
citoyen	citoyenne
client	cliente
clochard	clocharde
coiffeur	coiffeuse
collaborateur	collaboratrice
collectionneur	collectionneuse
collégien	collégienne
commentateur	commentatrice
compagnon	compagne
compétiteur	compétitrice
comploteur	comploteuse
compositeur	compositrice
concitoyen	concitoyenne
conférencier	conférencière
confident	confidente
confiseur	confiseuse
conseiller	conseillère
consommateur	consommatrice
conteur	conteuse
contrôleur	contrôleuse
coopérant	coopérante
copain	copine
cordonnier	cordonnière
cornichon	cornichonne
costumier	costumière
coupeur	coupeuse
coureur	coureuse
coursier	coursière
cousin	cousine
couturier	couturière
créancier	créancière
crémier	crémière
critiqueur	critiqueuse
cueilleur	cueilleuse
cuisinier	cuisinière
cultivateur	cultivatrice
danseur	danseuse
daron	daronne
débitant	débitante
décorateur	décoratrice
découpeur	découpeuse
défenseur	défenseuse
demandeur	demanderesse
demandeur	demandeuse
démolisseur	démolisseuse
démonteur	démonteuse
dépanneur	dépanneuse
député	députée
descripteur	descriptrice
dessinateur	dessinatrice
destinateur	destinatrice
développeur	développeuse
dévoreur	dévoreuse
diagnosticien	diagnosticienne
diagnostiqueur	diagnostiqueuse
dictateur	dictatrice
dieu	déesse
dîneur	dîneuse
docteur	docteure
docteur	doctoresse
doctorant	doctorante
donateur	donatrice
dresseur	dresseuse
écolier	écolière
écrivain	écrivaine
écuyer	écuyère
électeur	électrice
électricien	électricienne
électronicien	électronicienne
éléphant	éléphante
éleveur	éleveuse
empereur	impératrice
employeur	employeuse
empoisonneur	empoisonneuse
emprunteur	emprunteuse
encadreur	encadreuse
enculeur	enculeuse
enquêteur	enquêteuse
enquêteur	enquêtrice
entraîneur	entraîneuse
entrepreneur	entrepreneuse
envahisseur	envahisseuse
épicier	épicière
éplucheur	éplucheuse
époux	épouse
espion	espionne
estivant	estivante
états-unien	états-unienne
exagérateur	exagératrice
exécuteur	exécutrice
expérimentateur	expérimentatrice
exposant	exposante
fabricant	fabricante
facteur	factrice
festivalier	festivalière
fiancé	fiancée
filleul	filleule
fondeur	fondeuse
footballeur	footballeuse
fouetteur	fouetteuse
fournisseur	fournisseuse
gendarme	gendarmette
géniteur	génitrice
gérant	gérante
grammairien	grammairienne
graveur	graveuse
gribouilleur	gribouilleuse
grignoteur	grignoteuse
grutier	grutière
guérisseur	guérisseuse
guetteur	guetteuse
guichetier	guichetière
habitant	habitante
héritier	héritière
héros	héroïne
