abbé	abbesse
accompagnateur	accompagnatrice
accoucheur	accoucheuse
acheteur	acheteuse
acteur	actrice
administrateur	administratrice
adorateur	adoratrice
affabulateur	affabulatrice
agent	agente
agitateur	agitatrice
agnel	agnelle
agriculteur	agricultrice
aide-soignant	aide-soignante
aimeur	aimeuse
ain	aine
allumeur	allumeuse
ambassadeur	ambassadrice
ambulancier	ambulancière
animateur	animatrice
annonceur	annonceuse
apiculteur	apicultrice
apprenti	apprentie
appréciateur	appréciatrice
aprèm	aprème
archiduc	archi-duchesse
archiduc	archiduchesse
ardennais	ardennaise
ardoisier	ardoisière
arnaqueur	arnaqueuse
arracheur	arracheuse
arrivant	arrivante
arroseur	arroseuse
artisan	artisane
as	ase
assistant	assistante
astrophysicien	astrophysicienne
auditeur	auditrice
aumônier	aumônière
auteur	auteure
auto-stoppeur	auto-stoppeuse
automitrailleur	automitrailleuse
avaleur	avaleuse
aveugle-né	aveugle-née
aviateur	aviatrice
avocat	avocate
avorteur	avorteuse
aïeul	aïeule
babouin	babouine
bachelier	bachelière
baigneur	baigneuse
baiseur	baiseuse
balayeur	balayeuse
bambin	bambine
banquier	banquière
barboteur	barboteuse
baron	baronne
baroudeur	baroudeuse
barreur	barreuse
basketteur	basketteuse
batteur	batteuse
beau-père	belle-mère
beau-frère	belle-soeur
benjamin	benjamine
berger	bergère
beuglant	beuglante
bienfaiteur	bienfaitrice
bijoutier	bijoutière
bisaïeul	bisaïeule
bistrot	bistrote
bistrotier	bistrotière
blanchisseur	blanchisseuse
bobineur	bobineuse
botticellien	botticellienne
boucher	bouchère
boulanger	boulangère
bouquetier	bouquetière
bouseux	bouseuse
boustifailleur	boustifailleuse
boxeur	boxeuse
braconnier	braconnière
brand	brande
branleur	branleuse
braqueur	braqueuse
brechtien	brechtienne
bridgeur	bridgeuse
briseur	briseuse
brocanteur	brocanteuse
brodeur	brodeuse
bruiteur	bruiteuse
brûleur	brûleuse
bufflon	bufflonne
buveur	buveuse
bâtisseur	bâtisseuse
bâtier	bâtière
bérullien	bérullienne
bétonneur	bétonneuse
cabaretier	cabaretière
cafteur	cafteuse
caissier	caissière
call-girl	call girl
calomniateur	calomniatrice
cambrioleur	cambrioleuse
campeur	campeuse
candidat	candidate
canard	cane
cantinier	cantinière
caporal	caporale
caqueteur	caqueteuse
caravanier	caravanière
cardeur	cardeuse
caresseur	caresseuse
carillonneur	carillonneuse
cartomancien	cartomancienne
cascadeur	cascadeuse
casseur	casseuse
catcheur	catcheuse
cavillon	cavillonne
centrifugeur	centrifugeuse
chaisier	chaisière
chameau	chamelle
champion	championne
changeur	changeuse
chanteur	chanteuse
chapardeur	chapardeuse
charcutier	charcutière
charolais	charolaise
charpentier	charpentière
charretier	charretière
charrier	charrière
chartreux	chartreuse
chasseur	chasseresse
chasseur	chasseuse
chat	chatte
chauffeur	chauffeuse
chevrier	chevrière
chicot	chicote
chien	chienne
chieur	chieuse
chiffonnier	chiffonnière
chiffreur	chiffreuse
chiromancien	chiromancienne
chiropraticien	chiropraticienne
chirurgien	chirurgienne
chocolatier	chocolatière
chouraveur	chouraveuse
chou	choute
chroniqueur	chroniqueuse
châtelain	châtelaine
chômeur	chômeuse
cigarier	cigarière
citoyen	citoyenne
client	cliente
clinicien	clinicienne
clochard	clocharde
cloueur	cloueuse
coéquipier	co-équipière
cofondateur	cofondatrice
cogneur	cogneuse
coiffeur	coiffeuse
collaborateur	collaboratrice
collectionneur	collectionneuse
collégien	collégienne
colonel	colonelle
colporteur	colporteuse
commentateur	commentatrice
communiant	communiante
compagnon	compagne
comploteur	comploteuse
compositeur	compositrice
compétiteur	compétitrice
comte	comtesse
concitoyen	concitoyenne
concubin	concubine
confectionneur	confectionneuse
confident	confidente
confiseur	confiseuse
confiturier	confiturière
conférencier	conférencière
conseiller	conseillère
consommateur	consommatrice
contemplateur	contemplatrice
conteur	conteuse
contrebandier	contrebandière
contrôleur	contrôleuse
convoyeur	convoyeuse
coopérant	coopérante
copain	copine
cordelier	cordelière
cordeau	cordelle
cordonnier	cordonnière
corsetier	corsetière
cosméticien	cosméticienne
costumier	costumière
coucheur	coucheuse
coupeur	coupeuse
