abaissant	abaissante
abdominal	abdominale
aberrant	aberrante
abject	abjecte
abondant	abondante
abortif	abortive
aboyant	aboyante
abracadabrant	abracadabrante
abrasif	abrasive
abrupt	abrupte
abrutissant	abrutissante
abscons	absconse
absolu	absolue
absorbant	absorbante
abstinent	abstinente
abstrus	abstruse
abusif	abusive
abyssal	abyssale
abâtardi	abâtardie
accablant	accablante
accaparant	accaparante
accidentel	accidentelle
accommodant	accommodante
accort	accorte
accrocheur	accrocheuse
accueillant	accueillante
accusateur	accusatrice
accélérateur	accélératrice
achalandé	achalandée
acrimonieux	acrimonieuse
actuel	actuelle
acéré	acérée
adamantin	adamantine
additionnel	additionnelle
adhérent	adhérente
adhésif	adhésive
adipeux	adipeuse
adjacent	adjacente
adjectif	adjective
admiratif	admirative
adoptif	adoptive
adorant	adorante
adragant	adragante
adroit	adroite
adultérin	adultérine
adéquat	adéquate
affectif	affective
affectueux	affectueuse
affidé	affidée
affligeant	affligeante
affolant	affolante
affreux	affreuse
affriolant	affriolante
afférent	afférente
afro-brésilien	afro-brésilienne
agaçant	agaçante
aggravant	aggravante
agissant	agissante
agressif	agressive
aguichant	aguichante
ahanant	ahanante
ahurissant	ahurissante
aigre-doux	aigre-douce
aigrelet	aigrelette
aiguillonnant	aiguillonnante
aigu	aiguë
aisé	aisée
alanguissant	alanguissante
alarmant	alarmante
albumineux	albumineuse
alcalin	alcaline
alençonnais	alençonnaise
alexandrin	alexandrine
alezan	alezane
algérois	algéroise
aliénant	aliénante
allaitant	allaitante
allant	allante
allusif	allusive
alléchant	alléchante
alpin	alpine
altier	altière
alvéolé	alvéolée
amaigrissant	amaigrissante
amalfitain	amalfitaine
amazonien	amazonienne
ambiant	ambiante
ambigu	ambiguë
ambivalent	ambivalente
ambulant	ambulante
amibien	amibienne
amincissant	amincissante
amiral	amirale
amitieux	amitieuse
ammoniacal	ammoniacale
ammoniaqué	ammoniaquée
amnistiant	amnistiante
amoral	amorale
ampoulé	ampoulée
amusant	amusante
amer	amère
américano-japonais	américano-japonaise
américano-suédois	américano-suédoise
anal	anale
ancestral	ancestrale
andin	andine
anesthésiant	anesthésiante
anglo-américain	anglo-américaine
anglo-français	anglo-française
anglo-normand	anglo-normande
anglo-saxon	anglo-saxonne
anglo-égyptien	anglo-égyptienne
angoissant	angoissante
anguleux	anguleuse
animal	animale
animalier	animalière
annelé	annelée
annihilant	annihilante
annonciateur	annonciatrice
annuel	annuelle
anoblissant	anoblissante
anodin	anodine
ansé	ansée
anti-aérien	anti-aérienne
antiaméricain	antiaméricaine
antiaérien	antiaérienne
antichrétien	antichrétienne
anticipateur	anticipatrice
anticlérical	anticléricale
anticonceptionnel	anticonceptionnelle
anticonstitutionnel	anticonstitutionnelle
antidreyfusard	antidreyfusarde
antidérapant	antidérapante
antifrançais	antifrançaise
antinational	antinationale
antinaturel	antinaturelle
antinazi	antinazie
antipersonnel	antipersonnelle
antireligieux	antireligieuse
antisocial	antisociale
antédiluvien	antédiluvienne
antérieur	antérieure
anéantissant	anéantissante
anémiant	anémiante
apaisant	apaisante
aphteux	aphteuse
appauvrissant	appauvrissante
approbateur	approbatrice
approximatif	approximative
appétissant	appétissante
apéritif	apéritive
aqueux	aqueuse
arachnéen	arachnéenne
aragonais	aragonaise
araméen	araméenne
aranéeux	aranéeuse
arbitral	arbitrale
arcadien	arcadienne
archi-sophistiqué	archi-sophistiquée
architectural	architecturale
archétypal	archétypale
ardent	ardente
ardoisé	ardoisée
ardu	ardue
ardéchois	ardéchoise
argentin	argentine
argileux	argileuse
arien	arienne
aristotélicien	aristotélicienne
ariégeois	ariégeoise
armoricain	armoricaine
arrangeant	arrangeante
arthurien	arthurienne
artificiel	artificielle
artificieux	artificieuse
artisanal	artisanale
artériel	artérielle
ascendant	ascendante
ascensionnel	ascensionnelle
asexuel	asexuelle
asexué	asexuée
asphyxiant	asphyxiante
assaillant	assaillante
assidu	assidue
associatif	associative
assommant	assommante
assourdissant	assourdissante
assyrien	assyrienne
astral	astrale
astreignant	astreignante
astringent	astringente
astucieux	astucieuse
atonal	atonale
attachant	attachante
attenant	attenante
attendrissant	attendrissante
attentif	attentive
atterrant	atterrante
attirant	attirante
attractif	attractive
attrayant	attrayante
attristant	attristante
atténuant	atténuante
audacieux	audacieuse
audiovisuel	audio-visuelle
audiovisuel	audiovisuelle
auditif	auditive
augural	augurale
austral	australe
auto-adhésif	auto-adhésive
auto-immun	auto-immune
autocollant	autocollante
autodestructeur	autodestructrice
autogéré	autogérée
automnal	automnale
automoteur	automotrice
autonettoyant	autonettoyante
autoporté	autoportée
autopropulsé	autopropulsée
autoroutier	autoroutière
avant-courrier	avant-courrière
avantageux	avantageuse
avaricieux	avaricieuse
avenant	avenante
aventureux	aventureuse
aveuglant	aveuglante
aveulissant	aveulissante
avignonnais	avignonnaise
avilissant	avilissante
aviné	avinée
avoisinant	avoisinante
axial	axiale
aérien	aérienne
aéroporté	aéroportée
babillard	babillarde
babélien	babélienne
bactérien	bactérienne
badois	badoise
bafouillant	bafouillante
balbutiant	balbutiante
baleiné	baleinée
balinais	balinaise
ballant	ballante
ballonnant	ballonnante
balourd	balourde
balzacien	balzacienne
banal	banale
bananier	bananière
bancal	bancale
bandant	bandante
bantou	bantoue
baptismal	baptismale
barbant	barbante
barbelé	barbelée
basané	basanée
basculant	basculante
basquais	basquaise
batailleur	batailleuse
bathyal	bathyale
batracien	batracienne
beauceron	beauceronne
bedonnant	bedonnante
bellevillois	bellevilloise
belliqueux	belliqueuse
berlinois	berlinoise
berrichon	berrichonne
besogneux	besogneuse
bestial	bestiale
bicaméral	bicamérale
biculturel	biculturelle
bidonnant	bidonnante
bien-pensant	bien-pensante
bienfaisant	bienfaisante
bienséant	bienséante
bienveillant	bienveillante
bilatéral	bilatérale
bilieux	bilieuse
bilobé	bilobée
bimensuel	bimensuelle
binoclard	binoclarde
bioluminescent	bioluminescente
biomédical	biomédicale
biquotidien	biquotidienne
biscornu	biscornue
bisexuel	bisexuelle
bitumeux	bitumeuse
bitumineux	bitumineuse
bivalent	bivalente
blafard	blafarde
blanchissant	blanchissante
blessant	blessante
blet	blette
bleu	bleue
bleuissant	bleuissante
blondin	blondine
blondinet	blondinette
blêmissant	blêmissante
boiteux	boiteuse
bondissant	bondissante
bonnard	bonnarde
boréal	boréale
boscot	boscotte
bossué	bossuée
bostonien	bostonienne
boueux	boueuse
bouffant	bouffante
bouffonnant	bouffonnante
bouillant	bouillante
bouillonnant	bouillonnante
boulevardier	boulevardière
bouleversant	bouleversante
bourbeux	bourbeuse
bourbonien	bourbonienne
bourdonnant	bourdonnante
bourgeonnant	bourgeonnante
bourgeonneux	bourgeonneuse
bourratif	bourrative
bourru	bourrue
boutonneux	boutonneuse
bovin	bovine
brabançon	brabançonne
brachial	brachiale
braillard	braillarde
braisillant	braisillante
branchial	branchiale
branchu	branchue
branlant	branlante
bredouillant	bredouillante
bressan	bressane
briard	briarde
bringuebalant	bringuebalante
brioché	briochée
brisant	brisante
brivadois	brivadoise
bronzant	bronzante
brouillardeux	brouillardeuse
brouillon	brouillonne
broussailleux	broussailleuse
brouteur	brouteuse
broyeur	broyeuse
brugeois	brugeoise
bruissant	bruissante
brumeux	brumeuse
brusquet	brusquette
brutal	brutale
bruxellois	bruxelloise
bruyant	bruyante
brûlant	brûlante
buccal	buccale
buissonneux	buissonneuse
buissonnier	buissonnière
bulbeux	bulbeuse
butineur	butineuse
byzantin	byzantine
bâillant	bâillante
béant	béante
béat	béate
bégayant	bégayante
bénard	bénarde
bénin	bénigne
bénit	bénite
cabochard	cabocharde
cadastral	cadastrale
cadavéreux	cadavéreuse
cafouilleux	cafouilleuse
cagneux	cagneuse
cahotant	cahotante
cahoteux	cahoteuse
caillouteux	caillouteuse
calamistré	calamistrée
calamiteux	calamiteuse
calculeux	calculeuse
calleux	calleuse
calmant	calmante
calomnieux	calomnieuse
calédonien	calédonienne
cambrien	cambrienne
camerounais	camerounaise
campagnard	campagnarde
camus	camuse
cancanier	cancanière
canonial	canoniale
cantonais	cantonaise
cantonal	cantonale
caoutchouteux	caoutchouteuse
capiteux	capiteuse
capricieux	capricieuse
caprin	caprine
captieux	captieuse
captivant	captivante
capétien	capétienne
caquetant	caquetante
carabiné	carabinée
caramélisé	caramélisée
carcéral	carcérale
cardinal	cardinale
caressant	caressante
caribéen	caribéenne
caricatural	caricaturale
caritatif	caritative
carné	carnée
carolin	caroline
carolingien	carolingienne
carotidien	carotidienne
carotteur	carotteuse
carpien	carpienne
carthaginois	carthaginoise
cartilagineux	cartilagineuse
cartonneux	cartonneuse
cartésien	cartésienne
cassant	cassante
castrateur	castratrice
caséeux	caséeuse
catalan	catalane
catarrheux	catarrheuse
cauchemardeux	cauchemardeuse
caudal	caudale
causant	causante
cauteleux	cauteleuse
caverneux	caverneuse
cendreux	cendreuse
censé	censée
centrafricain	centrafricaine
centralisateur	centralisatrice
cervical	cervicale
cessant	cessante
chafouin	chafouine
chaleureux	chaleureuse
chamailleur	chamailleuse
champenois	champenoise
chancelant	chancelante
chanceux	chanceuse
changeant	changeante
chantant	chantante
chantonnant	chantonnante
charançonné	charançonnée
charbonneux	charbonneuse
charmant	charmante
charnel	charnelle
charnu	charnue
chassieux	chassieuse
chatoyant	chatoyante
chauffant	chauffante
chavirant	chavirante
chenu	chenue
chevalin	chevaline
chevelu	chevelue
chevrotant	chevrotante
chiant	chiante
chicanier	chicanière
chichiteux	chichiteuse
chipoteur	chipoteuse
chirurgical	chirurgicale
chloré	chlorée
chocolaté	chocolatée
choquant	choquante
choucard	choucarde
chtarbé	chtarbée
chuchotant	chuchotante
châtain	châtaine
chérifien	chérifienne
chétif	chétive
chômé	chômée
ci-inclus	ci-incluse
ci-joint	ci-jointe
cicatrisant	cicatrisante
cicéronien	cicéronienne
cinglant	cinglante
circonspect	circonspecte
circonstanciel	circonstancielle
cistercien	cistercienne
citérieur	citérieure
civilisateur	civilisatrice
claironnant	claironnante
clairvoyant	clairvoyante
clapotant	clapotante
claquant	claquante
classieux	classieuse
classificateur	classificatrice
claudicant	claudicante
claudélien	claudélienne
claustral	claustrale
clermontois	clermontoise
cliché	clichée
clignotant	clignotante
clinquant	clinquante
cliquetant	cliquetante
clitoridien	clitoridienne
clément	clémente
clérical	cléricale
co-dépendant	co-dépendante
co-éducatif	co-éducative
cocardier	cocardière
cocher	cochère
codant	codante
coercitif	coercitive
cognitif	cognitive
cohérent	cohérente
cohésif	cohésive
coiffant	coiffante
coi	coite
collatéral	collatérale
collectif	collective
collecteur	collectrice
colloïdal	colloïdale
colombin	colombine
colonial	coloniale
colonisateur	colonisatrice
colossal	colossale
coléreux	coléreuse
combatif	combative
commandant	commandante
commençant	commençante
