abandonné	abandonnée
abbé	abbesse
abonné	abonnée
absent	absente
accidenté	accidentée
accompagnateur	accompagnatrice
accoucheur	accoucheuse
accusateur	accusatrice
accusé	accusée
acheteur	acheteuse
acquéreur	acquéreuse
acteur	actrice
adhérent	adhérente
administrateur	administratrice
administré	administrée
admirateur	admiratrice
adolescent	adolescente
adoptant	adoptante
adopté	adoptée
adorateur	adoratrice
afficheur	afficheuse
africain	africaine
agité	agitée
agneau	agnelle
agressé	agressée
agresseur	agresseuse
agriculteur	agricultrice
aîné	aînée
ajusteur	ajusteuse
allemand	allemande
allié	alliée
amant	amante
amateur	amatrice
ambitieux	ambitieuse
ambulancier	ambulancière
américain	américaine
ami	amie
amoureux	amoureuse
ancien	ancienne
âne	ânesse
anglais	anglaise
angoissé	angoissée
animateur	animatrice
anormal	anormale
anxieux	anxieuse
apiculteur	apicultrice
appelant	appelante
apprenant	apprenante
approvisionneur	approvisionneuse
arnaqueur	arnaqueuse
arrivant	arrivante
artisan	artisane
assaillant	assaillante
assistant	assistante
assoiffé	assoiffée
assuré	assurée
attaquant	attaquante
auditeur	auditrice
australien	australienne
auteur	auteure
auto-stoppeur	auto-stoppeuse
aventurier	aventurière
aviateur	aviatrice
aviculteur	avicultrice
avocaillon	avocaillonne
avocat	avocate
bachelier	bachelière
bagarreur	bagarreuse
baigneur	baigneuse
balayeur	balayeuse
banlieusard	banlieusarde
banquier	banquière
barman	barmaid
baroudeur	baroudeuse
basketteur	basketteuse
bâtard	bâtarde
batelier	batelière
bavard	bavarde
bédouin	bédouine
belligérant	belligérante
berger	bergère
bien-aimé	bien-aimée
bienheureux	bienheureuse
bijoutier	bijoutière
blagueur	blagueuse
blanchisseur	blanchisseuse
blessé	blessée
blond	blonde
bodybuilder	bodybuildeuse
boiteux	boiteuse
bossu	bossue
boucher	bouchère
bouffeur	bouffeuse
boulanger	boulangère
bourlingueur	bourlingueuse
boutiquier	boutiquière
boxeur	boxeuse
breton	bretonne
briseur	briseuse
bronzeur	bronzeuse
brun	brune
buandier	buandière
buteur	buteuse
buveur	buveuse
cabochard	cabocharde
cadet	cadette
cadet	puînée
caissier	caissière
calomniateur	calomniatrice
cambrioleur	cambrioleuse
camionneur	camionneuse
campagnard	campagnarde
campeur	campeuse
canadien	canadienne
canard	cane
cancéreux	cancéreuse
candidat	candidate
capricieux	capricieuse
caravanier	caravanière
casquettier	casquettière
cavalier	cavalière
célébrant	célébrante
chaisier	chaisière
champion	championne
chanteur	chanteuse
charbonnier	charbonnière
charcutier	charcutière
chasseur	chasseresse
chasseur	chasseuse
chat	chatte
châtelain	châtelaine
chauffeur	chauffeuse
chausseur	chausseuse
chaussonnier	chaussonnière
cheminot	cheminote
chercheur	chercheuse
chéri	chérie
cheval	jument
chevrier	chevrière
chien	chienne
chieur	chieuse
chiffreur	chiffreuse
chinois	chinoise
chipoteur	chipoteuse
chiqueur	chiqueuse
chirurgien	chirurgienne
chocolatier	chocolatière
chômeur	chômeuse
chrétien	chrétienne
cigarier	cigarière
citadin	citadine
citateur	citatrice
citoyen	citoyenne
clandestin	clandestine
client	cliente
clochard	clocharde
cochon	cochonne
cochon	truie
coiffeur	coiffeuse
coléreux	coléreuse
collaborateur	collaboratrice
collectionneur	collectionneuse
collégien	collégienne
combattant	combattante
comédien	comédienne
commandant	commandante
commentateur	commentatrice
commerçant	commerçante
compagnon	compagne
compétiteur	compétitrice
comploteur	comploteuse
compositeur	compositrice
con	conne
concepteur	conceptrice
concitoyen	concitoyenne
condamné	condamnée
conducteur	conductrice
conférencier	conférencière
confident	confidente
confiseur	confiseuse
