abaissant abaissante
abaissé abaissée
abandon abandonne
abandonné abandonnée
abasourdi abasourdie
abat abatte
abattu abattue
abbatial abbatiale
abbé abbesse
abdiqué abdiquée
abdominal abdominale
aberrant aberrante
abhorré abhorrée
abject abjecte
able ablette
aboi aboie
aboli abolie
abondant abondante
abonné abonnée
abord aborde
abordé abordée
abortif abortive
abouché abouchée
abouti aboutie
aboutis aboutisse
aboyant aboyante
abracadabrant abracadabrante
abrasif abrasive
abreuvé abreuvée
abri abrite
abrité abritée
abrogé abrogée
abrupt abrupte
abruti abrutie
abrutissant abrutissante
abrégé abrégée
abscons absconse
absent absente
absenté absentée
absolu absolue
absorbant absorbante
absorbé absorbée
absout absoute
abstenu abstenue
abstinent abstinente
abstrait abstraite
abstrus abstruse
abus abuse
abusif abusive
abusé abusée
abyssal abyssale
abyssinien abyssinienne
abâtardi abâtardie
abîmé abîmée
acadien acadienne
acagnardé acagnardée
accablant accablante
accablé accablée
accaparant accaparante
accaparé accaparée
accentué accentuée
accepté acceptée
accident accidente
accidentel accidentelle
accidenté accidentée
acclamé acclamée
accolé accolée
accommodant accommodante
accommodé accommodée
accompagnateur accompagnatrice
accompagné accompagnée
accompli accomplie
accomplis accomplisse
accord accorde
accordé accordée
accort accorte
accosté accostée
accoté accotée
accoucher accoucheuse
accoucheur accoucheuse
accouché accouchée
accoudé accoudée
accouplé accouplée
accouru accourue
accoutré accoutrée
accoutumé accoutumée
accrocher accrocheuse
accrocheur accrocheuse
accroché accrochée
accrois accroisse
accroupi accroupie
accroupis accroupisse
accru accrue
accrédité accréditée
accueil accueille
accueillant accueillante
accueilli accueillie
acculé acculée
accumulé accumulée
accus accuse
accusateur accusatrice
accusé accusée
accélérateur accélératrice
accéléré accélérée
achalandé achalandée
acharné acharnée
acheminé acheminée
acheter acheteuse
acheteur acheteuse
acheté achetée
achevé achevée
achoppé achoppée
acid acide
acidulé acidulée
acoquiné acoquinée
acquis acquise
acquit acquitte
acquitté acquittée
acquéreur acquéreuse
acrimonieux acrimonieuse
acteur actrice
actif active
action actionne
actionné actionnée
activé activée
actualisé actualisée
actuel actuelle
acéré acérée
adamantin adamantine
adapté adaptée
addition additionne
additionnel additionnelle
additionné additionnée
adhérent adhérente
adhésif adhésive
adipeux adipeuse
adjacent adjacente
adjectif adjective
adjoint adjointe
adjugé adjugée
admet admette
administrateur administratrice
administratif administrative
administré administrée
admirateur admiratrice
admiratif admirative
admiré admirée
admis admise
adolescent adolescente
adon adonne
adonné adonnée
adoptant adoptante
adoptif adoptive
adopté adoptée
adorant adorante
adorateur adoratrice
adoré adorée
ados adosse
adossé adossée
adouci adoucie
adoucis adoucisse
adressé adressée
adroit adroite
adultérin adultérine
adulé adulée
advenu advenue
adéquat adéquate
affadi affadie
affadis affadisse
affaibli affaiblie
affaiblis affaiblisse
affairé affairée
affaissé affaissée
affalé affalée
affamé affamée
affect affecte
affectif affective
affection affectionne
affectionné affectionnée
affectueux affectueuse
affecté affectée
affermi affermie
affermis affermisse
affiche affichette
afficheur afficheuse
affiché affichée
affidé affidée
affilié affiliée
affilé affilée
affin affine
affiné affinée
affirmatif affirmative
affirmé affirmée
affligeant affligeante
affligé affligée
affolant affolante
affolé affolée
affranchi affranchie
affranchis affranchisse
affreux affreuse
affriolant affriolante
affront affronte
affronté affrontée
affublé affublée
affuré affurée
afférent afférente
affût affûte
affûté affûtée
afghan afghane
africain africaine
afro-américain afro-américaine
afro-cubain afro-cubaine
agacé agacée
agaçant agaçante
agencé agencée
agenouillé agenouillée
agent agente
aggloméré agglomérée
agglutiné agglutinée
aggravant aggravante
aggravé aggravée
agis agisse
agissant agissante
agit agite
agitateur agitatrice
agité agitée
agneau agnelle
agonisant agonisante
agrafer agrafeuse
agrafeur agrafeuse
agrafé agrafée
agrandi agrandie
agresseur agresseuse
agressif agressive
agressé agressée
agriculteur agricultrice
agrippé agrippée
agrégatif agrégative
agrégé agrégée
agrément agrémente
agrémenté agrémentée
agréé agréée
aguerri aguerrie
aguichant aguichante
aguicher aguicheuse
aguicheur aguicheuse
ahan ahane
ahanant ahanante
ahuri ahurie
ahurissant ahurissante
aide-soignant aide-soignante
aidé aidée
aigre aigrette
aigrelet aigrelette
aigri aigrie
aigu aigue
aiguillon aiguillonne
aiguillonnant aiguillonnante
aiguillonné aiguillonnée
aiguillé aiguillée
aiguisé aiguisée
aile ailette
aillé aillée
ailé ailée
aimant aimante
aimanté aimantée
aimer aimeuse
aimé aimée
aisseau aisselle
aisé aisée
ajourné ajournée
ajouré ajourée
ajout ajoute
ajouté ajoutée
ajusteur ajusteuse
ajusté ajustée
akkadien akkadienne
alambiqué alambiquée
alangui alanguie
alanguissant alanguissante
alarmant alarmante
alarmé alarmée
albanais albanaise
alcalin alcaline
alcoolisé alcoolisée
alenti alentie
alençonnais alençonnaise
alerté alertée
alexandrin alexandrine
alezan alezane
algérien algérienne
algérois algéroise
aligné alignée
aliment alimente
alimenté alimentée
alité alitée
aliénant aliénante
aliéné aliénée
allai allaite
allait allaite
allaitant allaitante
allaité allaitée
allant allante
allemand allemande
allié alliée
allongé allongée
alloué allouée
allume allumette
allumer allumeuse
allumeur allumeuse
allumé allumée
allusif allusive
allusion allusionne
allé allée
alléchant alléchante
alléché alléchée
allégué alléguée
allégé allégée
alourdi alourdie
alpagué alpaguée
